AP Name,Ethernet MAC,Location,Primary Controller,Secondary Controller,Tertiary Controller
dllstxatapn01v281a,6c:41:0e:17:03:5c,,,,
DLLCTX04APN02V088A,6C410E173BCC,,,,
DLLCTX04APN02V088B,6C410E175FBC,,,,
